session,wfz,b2_key,local_bytes,b2_bytes,present,size_matches,error
AL_0034/2024-09-03/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-09-03\1\widefield.wfz,subjects/AL_0034/2024-09-03/1/widefield.wfz,84674361220,,False,False,FileNotPresent: File not present: subjects/AL_0034/2024-09-03/1/widefield.wfz
ZYE_0046/2021-11-24/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0046\2021-11-24\1\widefield.wfz,subjects/ZYE_0046/2021-11-24/1/widefield.wfz,88251027950,88251027950,True,True,
AL_0048/2026-07-15/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0048\2026-07-15\1\widefield.wfz,subjects/AL_0048/2026-07-15/1/widefield.wfz,74082381893,,False,False,FileNotPresent: File not present: subjects/AL_0048/2026-07-15/1/widefield.wfz
AL_0033/2024-09-16/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-09-16\1\widefield.wfz,subjects/AL_0033/2024-09-16/1/widefield.wfz,81341106681,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-09-16/1/widefield.wfz
AB_0032/2024-04-30/1,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-04-30\1\widefield.wfz,subjects/AB_0032/2024-04-30/1/widefield.wfz,83289731594,,False,False,FileNotPresent: File not present: subjects/AB_0032/2024-04-30/1/widefield.wfz
ZYE_0067/2022-10-26/3,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0067\2022-10-26\3\widefield.wfz,subjects/ZYE_0067/2022-10-26/3/widefield.wfz,88181171294,88181171294,True,True,
ZYE_0091/2024-07-13/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0091\2024-07-13\1\widefield.wfz,subjects/ZYE_0091/2024-07-13/1/widefield.wfz,77156586633,77156586633,True,True,
AB_0032/2024-08-13/2,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-08-13\2\widefield.wfz,subjects/AB_0032/2024-08-13/2/widefield.wfz,80549036669,,False,False,FileNotPresent: File not present: subjects/AB_0032/2024-08-13/2/widefield.wfz
AL_0039/2025-06-26/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-06-26\1\widefield.wfz,subjects/AL_0039/2025-06-26/1/widefield.wfz,74665774902,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-06-26/1/widefield.wfz
ZYE_0048/2021-12-07/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0048\2021-12-07\1\widefield.wfz,subjects/ZYE_0048/2021-12-07/1/widefield.wfz,84262103754,84262103754,True,True,
